model,model_type,avg_accuracy,avg_kappa,min_accuracy,max_accuracy,std_accuracy,min_kappa,max_kappa,std_kappa
gpt-4o-mini-2024-07-18,GPT,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
mistral-nemo:12b,Ollama,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
gemma2:27b,Ollama,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
gemma2:9b,Ollama,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
llama3.1:8b,Ollama,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
mistral-small:22b,Ollama,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
deepseek-r1:32b,Ollama,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
deepseek-r1:8b,Ollama,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
llama3.1:70b,Ollama,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
gpt-4o-2024-05-13,GPT,0.9466666666666667,0.9109862573993603,0.94,0.96,0.009428090415820642,0.898921832884097,0.9340369393139841,0.016305235634182565
