model,run,tokens_per_second,completion_tokens,prompt_tokens,total_tokens,elapsed_time,message_idx,is_warmup,total_tokens_per_second,generation_tokens_per_second,eval_count,eval_duration_ns,prompt_eval_count,prompt_eval_duration_ns,total_duration_ns
gpt-4o-2024-05-13,1,11.381800363471713,7.0,165.0,172.0,0.6150169372558594,,,,,,,,,
gpt-4o-2024-05-13,1,16.33807651150199,7.0,182.0,189.0,0.42844700813293457,,,,,,,,,
gpt-4o-2024-05-13,1,9.988646469457533,7.0,192.0,199.0,0.7007956504821777,,,,,,,,,
gpt-4o-2024-05-13,1,14.09438588877773,7.0,190.0,197.0,0.49665164947509766,,,,,,,,,
gpt-4o-2024-05-13,1,10.993749765971947,7.0,138.0,145.0,0.6367254257202148,,,,,,,,,
gpt-4o-2024-05-13,1,17.177118960391,7.0,142.0,149.0,0.4075188636779785,,,,,,,,,
gpt-4o-2024-05-13,1,10.748042956841084,7.0,189.0,196.0,0.6512813568115234,,,,,,,,,
gpt-4o-2024-05-13,1,15.770008110561456,7.0,149.0,156.0,0.443880558013916,,,,,,,,,
gpt-4o-2024-05-13,1,14.313725662262875,7.0,187.0,194.0,0.4890410900115967,,,,,,,,,
gpt-4o-2024-05-13,1,15.916031374394274,7.0,159.0,166.0,0.4398081302642822,,,,,,,,,
gpt-4o-2024-05-13,1,11.306185257353224,7.0,200.0,207.0,0.6191301345825195,,,,,,,,,
gpt-4o-2024-05-13,1,8.556064856787078,7.0,191.0,198.0,0.8181331157684326,,,,,,,,,
gpt-4o-2024-05-13,1,14.521783817283518,7.0,146.0,153.0,0.48203444480895996,,,,,,,,,
gpt-4o-2024-05-13,1,7.431903331002014,7.0,192.0,199.0,0.941885232925415,,,,,,,,,
gpt-4o-2024-05-13,1,16.44094696305787,7.0,135.0,142.0,0.4257662296295166,,,,,,,,,
gpt-4o-2024-05-13,1,16.603092255901394,7.0,184.0,191.0,0.42160820960998535,,,,,,,,,
gpt-4o-2024-05-13,1,17.589636059075996,7.0,166.0,173.0,0.3979616165161133,,,,,,,,,
gpt-4o-2024-05-13,1,12.69270937583355,7.0,192.0,199.0,0.5514976978302002,,,,,,,,,
gpt-4o-2024-05-13,1,4.868966823343012,7.0,142.0,149.0,1.4376766681671143,,,,,,,,,
gpt-4o-2024-05-13,1,17.069911331034486,7.0,149.0,156.0,0.4100782871246338,,,,,,,,,
gpt-4o-2024-05-13,1,12.506635814827625,7.0,160.0,167.0,0.5597028732299805,,,,,,,,,
gpt-4o-2024-05-13,1,17.99213766621666,7.0,187.0,194.0,0.38905882835388184,,,,,,,,,
gpt-4o-2024-05-13,1,16.410970037254305,7.0,150.0,157.0,0.4265439510345459,,,,,,,,,
gpt-4o-2024-05-13,1,18.342926258759086,7.0,180.0,187.0,0.3816184997558594,,,,,,,,,
